grantee,url,amount,funded_since,rainer_fellow,why_invest
Educate Girls,https://mulagofoundation.org/Portfolio/educate-girls,$1.4 million unrestricted grants,2013,2013,"India has a public mandate to provide schools and primary education for all children, yet over 3.7 million eligible girls remain at home. Educate Girls mobilizes communities – parents, village leaders, schools, community volunteers – to enroll girls, improve school infrastructure (toilets, clean water, fencing) and boost learning outcomes. Since 2007, they have enrolled and retained 80,000 out-of-school girls in 8,000 schools across Rajasthan at a cost of less than $300 per school per year. Their model works and has great potential to scale big through government, reaching millions of girls."
Educate!,https://mulagofoundation.org/Portfolio/educate,$350K unrestricted grants,2015,2015,"Across Africa, more than 7 million young people enter the labor market each year, but the formal sector – the supply of jobs – is small, and most people have to figure out a way to make a living on their own. Education systems do little to prepare them for that reality. In Uganda and Rwanda, Educate! trains secondary school students in leadership, entrepreneurship and workforce readiness. Students learn by doing: they start real businesses under the mentorship of successful local business people. Educate!’s goal is to make their training model part of national education systems, ensuring that vast numbers of kids come out of school with the skills they need to thrive."
PEAS,https://mulagofoundation.org/Portfolio/peas,$350K unrestricted grants,2015,2015,"In poor countries, a secondary school education can vastly increase lifetime earnings, yet fewer than 25% of kids get to go. For those who do make it, the quality of education is often bad: Teacher are absent, curriculum outdated, and classrooms overcrowded. PEAS builds and operates low-cost secondary schools in very underserved parts of Uganda and Zambia. Their network of schools gets poor kids into school and dramatically improves quality. PEAS wants to create a charter school movement to transform secondary school education across the continent. Their systems for school management can help turn the commitment and resources of African governments into a great secondary education for all."
STiR Education,https://mulagofoundation.org/Portfolio/stir-education,$400K unrestricted grants,2014,2013,"Teachers are key drivers of student learning, but teaching is in crisis: in Uganda, 84% of teachers report wanting to quit their job, and in India, 25% of teachers are absent daily. A student’s experience can be enhanced by access to textbooks, new school buildings, and uniforms, but a motivated teacher has a far greater effect on a child’s desire to learn than any combination of the above. STIR finds and supports motivated teachers in India and Uganda, helping them form powerful networks to improve their own teaching and contribute to a wider movement of excellence. These networks change teacher behavior -- ranging from attendance to time on task -- which can directly affect student learning. STIR is collecting rigorous evidence to demonstrate the link between teacher motivation and improved learning outcomes. If the results are positive, this model could reposition teachers as the solution instead of the problem."
Babban Gona,https://mulagofoundation.org/Portfolio/babban-gona,$50K unrestricted grants,2015,2014,"Nigeria’s youth population is surging and prospects for formal employment are dim. Most families live off small subsistence farms, but that will never work for younger people looking for a better life. Babban Gona turns subsistence farms into profitable businesses through access to good training, affordable capital, quality inputs, and better prices for their crops. Babban Gona in turn makes money from farmer services, loan interest, and crop marketing. As a for-profit, they’re able to tap the capital that can drive aggressive growth -- and perhaps spawn an industry that will make farming a profitable business for millions of smallholder farmers, not least for the young people who need livelihoods so badly."
Babban Gona,https://mulagofoundation.org/Portfolio/babban-gona,$200K loans,2015,2014,"Nigeria’s youth population is surging and prospects for formal employment are dim. Most families live off small subsistence farms, but that will never work for younger people looking for a better life. Babban Gona turns subsistence farms into profitable businesses through access to good training, affordable capital, quality inputs, and better prices for their crops. Babban Gona in turn makes money from farmer services, loan interest, and crop marketing. As a for-profit, they’re able to tap the capital that can drive aggressive growth -- and perhaps spawn an industry that will make farming a profitable business for millions of smallholder farmers, not least for the young people who need livelihoods so badly."
BOMA Project,https://mulagofoundation.org/Portfolio/boma,$1M unrestricted grants,2013,2013,"Millions of families live in arid, low-productivity lands essentially cut off from the modern economy. BOMA helps the poorest women in those communities establish small businesses that sell local staples. In Northern Kenya, BOMA's work doubles incomes, increases savings and builds resiliency against the shocks that come with poverty and periodic drought. BOMA already covers a region bigger than Ireland, and, in partnership with the Kenyan government, will scale up dramatically in the coming years."
Komaza,https://mulagofoundation.org/Portfolio/komaza,$700K unrestricted grants,2008,2008,"Millions of Africans are stuck on semi-arid land that has little potential to earn them a decent livelihood. Africa's vast unmet demand for wood products poses a solution: Komaza helps poor families turn dry, fallow land into small-scale, income-generating tree farms. This innovative, plausibly profitable social enterprise has the potential to stem deforestation and transform the lives of millions of smallholder farmers."
Komaza,https://mulagofoundation.org/Portfolio/komaza,$1.5 million convertible debt,2008,2008,"Millions of Africans are stuck on semi-arid land that has little potential to earn them a decent livelihood. Africa's vast unmet demand for wood products poses a solution: Komaza helps poor families turn dry, fallow land into small-scale, income-generating tree farms. This innovative, plausibly profitable social enterprise has the potential to stem deforestation and transform the lives of millions of smallholder farmers."
Mountain Hazelnuts,https://mulagofoundation.org/Portfolio/mountain-hazelnuts,$500K equity,2014,,"Mountain Hazelnuts takes a systemic approach to creating reliable income generation opportunities for Bhutan's poorest families while restoring ecosystem health and maintaining community cohesion. Their fully integrated nut company connects smallholder farmers to international markets, more than doubling farm income. As Bhutan's first 100% foreign direct investment enterprise, Mountain Hazelnuts' market-based approach and unique partnership with the government sets a standard for future investment in the country, one that serves its people, environment and public institutions."
